Wall time,Step,Value
1615405274.7874088,17030,7.969457149505615
1615405298.1432807,17100,5.759376049041748
1615405300.781373,17110,8.510692596435547
1615405322.6422265,17180,7.976114749908447
1615405325.1873653,17190,7.958074569702148
1615405328.5161111,17200,8.065022468566895
1615405357.969374,17290,8.080467224121094
1615405369.3154638,17330,1.8065844774246216
1615405374.930637,17350,6.1294636726379395
1615405378.5466769,17360,8.000179290771484
1615405384.297072,17380,6.6515889167785645
1615405402.654036,17430,8.134085655212402
1615405405.639866,17440,7.829739093780518
1615405411.9548616,17460,8.014494895935059
1615405415.3228376,17470,3.2643580436706543
1615405418.994937,17480,7.997610569000244
1615405435.8021271,17530,8.327971458435059
1615405480.6466892,17670,8.331982612609863
1615405511.0544925,17760,7.821376323699951
1615405530.2600543,17820,5.900885581970215
1615405555.4247897,17890,8.302002906799316
1615405559.0624547,17900,6.786702632904053
1615405589.516188,17990,8.059144973754883
1615405614.8648334,18060,8.406659126281738
1615405644.2308285,18140,8.333001136779785
1615405648.1680577,18150,3.582728862762451
1615405657.902832,18180,8.342477798461914
1615405680.3285146,18250,8.243549346923828
1615405686.9441485,18270,8.509655952453613
1615405703.2210596,18310,7.662734031677246
1615405736.4976058,18410,7.894382476806641
1615405740.1431565,18420,8.04095458984375
1615405750.4634254,18450,8.449767112731934
1615405764.764861,18500,7.922626495361328
1615405778.9460402,18540,7.918936252593994
1615405818.8490207,18670,5.98856258392334
1615405824.6412115,18690,8.490806579589844
1615405827.3980956,18700,6.120335102081299
1615405844.8507326,18760,8.313167572021484
1615405849.0045266,18770,3.371730327606201
1615405851.5288846,18780,8.30549430847168
1615405857.313529,18800,8.067476272583008
1615405862.7839227,18820,8.187724113464355
1615405897.0768933,18940,8.081275939941406
1615405924.086284,19030,2.929431200027466
1615405934.9573684,19070,7.925302982330322
1615405951.7887828,19120,5.997641086578369
1615405968.9682338,19180,8.158594131469727
1615405990.3909054,19240,4.230940818786621
1615405993.2949913,19250,8.372655868530273
1615406016.085909,19310,8.46002197265625
1615406029.1600816,19350,6.688209056854248
1615406035.7002022,19370,8.420928955078125
1615406045.1892462,19390,8.05313491821289
1615406063.7461207,19450,8.516571998596191
1615406072.5558014,19480,7.85344934463501
1615406078.8214333,19500,8.347803115844727
1615406086.9242196,19530,8.003304481506348
1615406095.787029,19560,8.472811698913574
1615406105.130509,19590,7.786393642425537
1615406112.9752493,19610,8.117615699768066
1615406135.8621235,19680,8.269166946411133
1615406141.257036,19700,7.547967433929443
1615406174.9456549,19820,8.408056259155273
1615406178.406071,19830,8.362424850463867
1615406182.3556492,19840,8.357696533203125
1615406226.5124042,19980,8.523737907409668
1615406239.2801855,20020,6.143139362335205
1615406250.7178774,20060,8.520323753356934
1615406262.3828356,20100,6.485748291015625
1615406265.740355,20110,8.049396514892578
1615406276.2726676,20140,2.748021125793457
1615406285.0354054,20160,8.361783981323242
1615406291.7231588,20180,8.052021026611328
1615406318.801902,20260,7.613803386688232
1615406326.2334106,20280,8.193709373474121
1615406337.313171,20310,8.461134910583496
1615406348.8314555,20340,8.44509220123291
1615406359.0465136,20370,8.31181812286377
1615406366.3356924,20390,6.653370380401611
1615406377.6224794,20420,7.796539783477783
1615406386.3481352,20450,7.891775608062744
1615406389.6252644,20460,8.352635383605957
1615406437.4681427,20610,7.568650722503662
1615406461.4392445,20680,8.71739387512207
1615406477.4773076,20730,8.358591079711914
1615406481.7204432,20740,7.75714635848999
1615406485.0729537,20750,8.0600004196167
1615406492.9018142,20770,6.282841682434082
1615406496.124569,20780,4.943816184997559
1615406503.2489295,20800,-0.09630070626735687
1615406510.0275247,20820,8.293678283691406
1615406522.53172,20860,7.807948589324951
1615406534.253072,20900,7.898017406463623
1615406547.695832,20950,7.972007751464844
1615406553.4474192,20970,8.473210334777832
1615406574.0186589,21040,8.328591346740723
1615406579.2524028,21060,7.582984447479248
1615406582.2620375,21070,8.732640266418457
1615406591.699281,21100,8.268757820129395
1615406597.0982623,21120,8.280006408691406
1615406609.4062974,21160,8.024441719055176
1615406618.5083354,21190,8.467107772827148
1615406623.8570404,21210,8.185506820678711
1615406629.5170913,21230,8.762900352478027
1615406632.3912928,21240,8.381779670715332
1615406666.8713908,21340,4.88406229019165
1615406669.657017,21350,-1.1190179586410522
1615406681.7122984,21390,6.092504501342773
1615406691.9554377,21420,8.343055725097656
1615406703.3190432,21450,-0.5524341464042664
1615406706.7260678,21460,7.929073810577393
1615406717.177443,21490,6.463288307189941
1615406719.8249254,21500,8.40505313873291
1615406726.727196,21520,7.6569294929504395
1615406745.359512,21570,8.10455322265625
1615406749.0039291,21580,8.748002052307129
1615406772.8034832,21650,8.180173873901367
1615406775.7717407,21660,5.827126502990723
1615406787.7904317,21700,7.840994358062744
1615406794.236169,21720,8.42858600616455
1615406801.933619,21740,8.074090957641602
1615406813.9761205,21780,7.846744060516357
1615406850.305947,21880,8.087719917297363
1615406858.251933,21900,8.179445266723633
1615406865.8874075,21920,7.818410873413086
1615406870.655768,21930,7.918971061706543
1615406885.170888,21970,8.404548645019531
1615406895.1655152,22000,7.876842021942139
1615406920.7811003,22080,8.37242603302002
1615406933.261804,22120,8.456686019897461
1615406944.3786535,22150,5.365257740020752
1615406980.7209685,22260,8.544360160827637
1615406995.8860075,22300,8.45309829711914
1615407002.8705132,22320,-0.47749418020248413
1615407012.3057575,22350,8.009212493896484
1615407020.1310322,22370,3.6153717041015625
1615407023.8864357,22380,5.988469123840332
1615407031.7055128,22400,6.531917572021484
1615407038.3792496,22420,8.159016609191895
1615407041.9451418,22430,7.900557041168213
1615407047.7786453,22450,8.510369300842285
1615407053.1568623,22470,7.790183067321777
1615407056.6184926,22480,7.9943647384643555
1615407069.3270397,22520,8.00675106048584
1615407072.3082523,22530,3.8576345443725586
1615407081.33218,22550,0.24604155123233795
1615407095.1671877,22580,7.302824020385742
1615407114.1519954,22630,8.240153312683105
1615407161.1698375,22750,8.15500545501709
1615407177.5460095,22790,8.378530502319336
1615407187.927011,22820,8.093714714050293
1615407230.348406,22920,8.530600547790527
1615407252.7805583,22980,8.028783798217773
1615407255.818632,22990,8.58593463897705
1615407262.3180373,23010,8.389683723449707
1615407274.356948,23040,7.679648399353027
1615407283.9968977,23070,8.40405559539795
1615407287.3276284,23080,5.782487869262695
1615407290.971769,23090,8.105286598205566
1615407323.4756994,23190,8.040386199951172
1615407326.3203735,23200,8.651751518249512
1615407329.4888554,23210,8.161520957946777
1615407335.5559914,23230,6.6259613037109375
1615407375.8799946,23350,7.805635929107666
1615407380.0807774,23360,8.06196117401123
1615407384.155384,23370,7.644102573394775
1615407387.0147727,23380,8.127769470214844
1615407417.097602,23460,6.262105464935303
1615407451.3226724,23550,7.737939834594727
